car_id,title,model,price_million,description,odo,registration,origin,condition,warranty,year,version,gearbox,fuel,body_type,seats,drivetrain,horse_power,torque,engine_capacity,fuel_consumption,airbags,ground_clearance,doors,unladen_weight,gross_weight,image_folder,url
p1_s12_1774726262,Mazda 6 2016 2.0 Full Trắng,Mazda 6,368.0,"Bán Mazda 6 2016 bản full số tự động cửa sổ nóc 2.0 Xe gia đình sử dụng, bao zin không lỗi Máy zin, keo chỉ đủ, cam kết không cấn đụng, không thuỷ kích Nội thất đẹp, ghế da sạch sẽ, có màn hình cam lùi đầy đủ, trần nỉ cửa sổ nóc Ngay chủ đã rút hs gốc cầm tay giá 368 triệu Xem xe ngã 4 Hoà Lợi, Bến Cát, Bình Dương Liên hệ: ***",100000,N/A,Đang cập nhật,Đã sử dụng,Bảo hành hãng,2016,N/A,Tự động,Xăng,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,> 1 tấn,> 2 tấn,car_p1_s12_1774726262,https://xe.chotot.com/mua-ban-thi-xa-ben-cat-binh-duong/131488341.htm
p1_s13_1774726274,Mazda CX-30 2023 Premium 2.0 AT - 10000 km,CX-30,680.0,"680tr mới đi 10,000km bảng premium cao cấp, CX30, 1 chủ, đk 10/2023. Cà vẹt sẵn công chứng mua bán liền. bstp.",10000,N/A,Thái Lan,Đã sử dụng,Bảo hành hãng,2023,Premium 2.0 AT,Tự động,Xăng,SUV / Cross over,Khác,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,> 1 tấn,> 2 tấn,car_p1_s13_1774726274,https://xe.chotot.com/mua-ban-quan-binh-tan-tp-ho-chi-minh/131450573.htm
p1_s14_1774726281,Mazda Cx5 2.0 AT sản xuất 2019,CX-5,610.0,"Thông tin chi tiết về xe :  - Xe tư nhân 1 chủ mua từ mới  - Biển tỉnh - Odo 7 vạn km , bảo dưỡng định kì  Tình trạng xe :  - Nội ngoại thất tươi mới giữ gìn cẩn thận  - Cam kết chất lượng xe bằng văn bản : Không đâm , tai nạn ảnh hưởng tới khung gầm sắt xi , không ngập nước , máy số keo chỉ đinh tán cột kèo nguyên bản  - Bao check test theo chỉ định khách hàng  - Hỗ trợ trả góp 70% giá trị xe - Quý khách có nhu cầu mua xe xin vui lòng liên hệ trực tiếp để trao đổi trực tiếp & lái thử xe",70000,Có,Việt Nam,Đã sử dụng,Bảo hành hãng,2024,N/A,Tự động,Xăng,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,> 1 tấn,> 2 tấn,car_p1_s14_1774726281,https://xe.chotot.com/mua-ban-quan-ha-dong-ha-noi/131406454.htm
p1_s15_1774726293,Mazda CX5 2.0 Premium Exclusive 2023 sơn zin 99%,CX-5,785.0,"- Cần bán Mazda Cx5 2.0 Premium Exclusive 2023. Màu trắng. cam kết odo chuẩn 73,000 km. Full lịch sử hãng. Sơn zin còn nhiều. Tình trạng gần như mới - Bánh sơ cua chưa hạ. 4 vỏ còn dày - Trang bị full option: ghế da nepa chỉnh điện nhớ ghế 2 vị trí, cửa sổ trời, đề Star/stop, phanh tay điện tử, đầu DVD, camera de, HUD kính hiển thị tốc độ,  - Cam kết đúng km. Không đâm đụng, ngập nước, máy số zin - Bán bao rút hồ sơ gốc, bao pháp lý, phạt nguội - Thiện chí xem xe giá cả còn thương lượng",73000,Có,Việt Nam,Đã sử dụng,Bảo hành hãng,2023,Premium Exclusive 2.0 AT,Tự động,Xăng,SUV / Cross over,Khác,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,> 1 tấn,> 2 tấn,car_p1_s15_1774726293,https://xe.chotot.com/mua-ban-quan-binh-tan-tp-ho-chi-minh/131209235.htm
p1_s16_1774726306,Mazda CX5 premium 2022 lướt 14.000 km Như Xe NEW,CX-5,725.0,Mazda Cx5 premium 2022 lướt 14.000 km.  100% bảo dưỡng hãng. sơn zin cả xe. Một chủ mua mới 12/2022 thơm mùi xe mới.  Tiết kiệm hơn 200tr mua mới + phụ kiện giá trị camera màn hình 360 + film 3m + phủ Cecramic vvv Check test giao toàn quốc tận nhà khách. Xe xe tại nhà Chợ Tam Hà Thủ Đức  Anh Chị thiện chí liên hệ trực tiếp để được báo giá *** .  Vì lí do cv di chuyển không tiện trả lời tin nhắn xin thông cảm . Xin Cám ơn,14000,N/A,Việt Nam,Đã sử dụng,Bảo hành hãng,2022,N/A,Tự động,Xăng,SUV / Cross over,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,> 1 tấn,> 2 tấn,car_p1_s16_1774726306,https://xe.chotot.com/mua-ban-thanh-pho-thu-duc-tp-ho-chi-minh/131291413.htm
p1_s17_1774726318,Mazda CX5 Xanh đen 5 chỗ,CX-5,568.0,"Mazda CX5 màu xanh đen, xe 5 chỗ, động cơ xăng, hộp số tự động.   - Thiết kế hiện đại, nội thất rộng rãi.   - Xe sản xuất tại Việt Nam.   - Vận hành êm ái, tiết kiệm nhiên liệu. Xe chính chủ đứng tên Bảo dưởng đúng định kỳ",63000,N/A,Việt Nam,Đã sử dụng,Bảo hành hãng,2018,N/A,Tự động,Xăng,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,> 1 tấn,> 2 tấn,car_p1_s17_1774726318,https://xe.chotot.com/mua-ban-quan-binh-tan-tp-ho-chi-minh/131456208.htm
p1_s18_1774726329,MAZDA BT50 2018 TỰ ĐỘNG 1 CẦU 116000KM BH 1 NĂM,BT-50,398.0,"LÊ CAN AUTO BÁN XE  - MAZDA BT 50 SX 2018 TỰ ĐỘNG 1 CẦU, 1 CHỦ MUA MỚI XE LÊN NHIỀU PHỤ KIỆN CỰC ĐẸP  - TRANG BỊ : GHẾ DA ZIN, TRẦN NI LÔNG, MÀN HÌNH ZETECH, NẮP THÙNG CAO , LÓT SÀN, ĐĂNG KIỂM BẢO HIỂM CÒN DÀI …. - FULL LỊCH SỬ BẢO DƯỠNG - ODO 1116000 KM(CHUẨN 100%) - XE ĐẸP NGUYÊN ZIN BAO KO CẤN ĐỤNG, KO THUỶ KÍCH, KO PHẠT NGUỘI , BAO TEST TOÀN QUỐC - 4 VÕ MỚI THAY CÒN DÀY CUI GHẦM MÁY CỰC CHẤT - BẢO HÀNH1 NĂM HOẶC 20.000KM( ĐỘNG CƠ VÀ HỘP SỐ) - BANK HỖ TRỢ 50-70% ( KO CẦN CM THU NHẬP) - PHÁP LÝ RÕ RÀNG MINH BẠCH - BAO QUÝ KHÁCH HÀNG RÚT GỐC VÀ HỖ TRỢ SANG TÊN  - HỖ TRỢ THU XE LẠI GIÁ *** KHI QUÝ KHÁCH MUA XE TẠI CỬA HÀNG VÀ TRAO ĐỔI XE ĐÃ QUA SỬ DỤNG VỚI GIÁ TỐT HƠN THỊ TRƯỜNG 10-20TRIỆU -TẠI CỬA HÀNG CÒN RẤT NHIỀU XE ĐẸP GIÁ TỐT CHO QUÝ ANH CHỊ LỰA CHỌN -GIÁ CÒN THƯƠNG LƯỢNG QUÝ AC XEM XE TRỰC TIẾP - QUÝ ACE XEM XE VUI LÒNG LIÊN HỆ GẶP ( MR. CAN ) ĐỂ NHẬN ĐƯỢC SỰ TƯ VẤN VÀ HỖ TRỢ ***) - ĐỊA CHỈ : 201 LÊ CƠ, P AN LẠC QUẬN BÌNH TÂN TPHCM -TRÂN TRỌNG",116000,N/A,Thái Lan,Đã sử dụng,Bảo hành hãng,2018,2.2 AT 2WD,Tự động,Dầu,Pick-up (bán tải),5,2WD,148 HP @3700 RPM,375 Nm @1500 RPM,2.2,8,2,237,4,> 1 tấn,> 2 tấn,car_p1_s18_1774726329,https://xe.chotot.com/mua-ban-quan-binh-tan-tp-ho-chi-minh/131137204.htm
p1_s19_1774726341,Mazda 3 Luxury 2023 Sơn Zin 100% chỉ 1V4,Mazda 3,575.0,Mazda 3 luxury lướt sơn zin 100% một chủ mua mới 6/2023 chạy cực ít 1v4 14.000 km full lịch sử bảo dưỡng hãng. Thơm phức mùi xe mới. Anh Chị tiết kiêm hơn 120tr lại được xe như xe New trong hãng. Anh Chị cân nhắc hợp lý thiện chí liên hệ trực tiếp để được giá ***. Vì lý do công việc di chuyển nên không tl tin nhắn xin thông cảm. Xem xe tại nhà Chợ Tam Hà - Thủ Đức Xin Cám ơn,14000,Có,Việt Nam,Đã sử dụng,Bảo hành hãng,2023,1.5L Luxury,Tự động,Xăng,Hatchback,Khác,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,> 1 tấn,> 2 tấn,car_p1_s19_1774726341,https://xe.chotot.com/mua-ban-thanh-pho-thu-duc-tp-ho-chi-minh/131455960.htm
p1_s20_1774726352,Mazda 3 2023 1.5L Deluxe - 26000 km,Mazda 3,530.0,"Xe gia đình ít đi nên bán lại cho khách cần  Madaz 3 số tự động,xe đẹp như mới  ODO đúng chuẩn 26nghin km  Máy số bao zin,nói thất đẹp như mới  Màn hình cam lùi đầy đủ Vô lăng củ số,các phím bấm chưa có một vết mòn bao chess tess hãng thoải mái Giá bao rút hồ sơ có hỗ trợ trả góp lãi suất ưu đãi",26000,N/A,Việt Nam,Đã sử dụng,Bảo hành hãng,2023,1.5L Deluxe,Tự động,Xăng,Sedan,Khác,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,> 1 tấn,> 2 tấn,car_p1_s20_1774726352,https://xe.chotot.com/mua-ban-thi-xa-ben-cat-binh-duong/131362220.htm
p2_s0_1774726369,Mazda 6 Số tự động,Mazda 6,89.0,"Mazda 6 màu bạc, xe 5 chỗ, động cơ xăng, số tự động.   - Thiết kế sang trọng, nội thất rộng rãi.   - Xe nhập khẩu từ Nhật Bản, vận hành bền bỉ.   - Cảm giác lái êm ái, tiết kiệm nhiên liệu. - Không sang tên",150000,Có,Nhật Bản,Đã sử dụng,Bảo hành hãng,2005,N/A,Tự động,Xăng,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,> 1 tấn,> 2 tấn,car_p2_s0_1774726369,https://xe.chotot.com/mua-ban-oto-thanh-pho-long-khanh-dong-nai/130768260.htm#px=SR-stickyad-[PO-1][PL-top]
p2_s1_1774726376,Mazda 3 1.5 Sedan bao máy số zin keo chỉ zin all,Mazda 3,355.0,"🚘 Mazda 3 1.5AT sản xuất 2016 full đồ chơi giá 355tr.  📝 Odo 86km xe cá nhân gia đình dùng, cam kết bằng văn bản chất lượng xe không cấn đụng, không ngập nước, máy móc nguyên bản, keo chỉ nguyên bản.  🎉 Full đồ chơi: Cửa sổ trời, màn android 15inch lớn, đèn pha 4 bi led, đèn daylight led, đèn hậu led, bi gầm led, ca lăng kim cương, ốp heo, ốp lẫy số, full nt da kem, trần da lộn, film cách nhiệt, mâm sơn đen, 2 chìa khóa,...  ☎️ *** - Auto 2K ✅ Xem xe TP. Thủ Đức, HCM.",86868,Có,Việt Nam,Đã sử dụng,Bảo hành hãng,2016,1.5 AT Sedan,Tự động,Xăng,Sedan,5,FWD,112 HP @6000 RPM,144 Nm @4000 RPM,1.5,5,2,160,4,> 1 tấn,> 2 tấn,car_p2_s1_1774726376,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/130670619.htm#px=SR-stickyad-[PO-1][PL-top]
p2_s2_1774726388,Mazda 3 2016 2.0 18 ich Trắng 123.030,Mazda 3,369.0,"Mazda 3 2.0 2016 bản đủ full bánh 18 inch  Odo: 123.030km  - Nội thất: bọc ghế da, màn có kết nối android auto. Camera de camera lề  - Nhớt máy + lọc: 7000km thay 1 lần (Motul 100% synthetic - DK đến 12/2027 Khung gầm máy móc như mới Xe ở hcm q6 biển sài gòn",123030,N/A,Đang cập nhật,Đã sử dụng,Bảo hành hãng,2016,N/A,Tự động,Xăng,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,> 1 tấn,> 2 tấn,car_p2_s2_1774726388,https://xe.chotot.com/mua-ban-oto-quan-11-tp-ho-chi-minh/131351993.htm#px=SR-stickyad-[PO-1][PL-top]
p2_s3_1774726401,Mazda CX5 Premium 2.0 AT sản xuất 2024,CX-5,795.0,"Chiếc Mazda CX 5 màu trắng sản xuất năm 2024, một mẫu SUV/Crossover lý tưởng cho những ai tìm kiếm sự kết hợp giữa phong cách và hiệu suất. Xe có những đặc điểm nổi bật sau:  * 🚗 Thương hiệu: Mazda, nổi tiếng với thiết kế KODO và công nghệ SkyActiv. * 🎨 Màu sắc: Trắng, mang lại vẻ ngoài thanh lịch và hiện đại. * 🚘 Model: CX 5, dòng xe SUV được ưa chuộng trên thị trường. * ⚙️ Loại xe: SUV / Cross over, phù hợp cho cả di chuyển trong thành phố và những chuyến đi xa. * 🕹️ Hộp số: Tự động, mang lại sự thoải mái và tiện lợi khi lái xe. * 📅 Năm sản xuất: 2024, đảm bảo xe được trang bị những công nghệ mới nhất. * 🛣️ Odo: 2 vạn km, xe còn rất mới và ít sử dụng. * Khuyến khích khách hàng check test theo chỉ định trước khi mua để yên tâm nhất  Chiếc xe này hứa hẹn mang lại trải nghiệm lái tuyệt vời với thiết kế thể thao, nội thất tiện nghi và khả năng vận hành mạnh mẽ. Đây là lựa chọn đáng cân nhắc cho những ai đang tìm kiếm một chiếc SUV chất lượng cao.",20000,Có,Việt Nam,Đã sử dụng,Bảo hành hãng,2024,Premium 2.0 AT,Tự động,Xăng,SUV / Cross over,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,> 1 tấn,> 2 tấn,car_p2_s3_1774726401,https://xe.chotot.com/mua-ban-oto-quan-ha-dong-ha-noi/131405765.htm
p2_s4_1774726413,MAZDA CX5 2.5 2019 MÀU ĐỎ,CX-5,615.0,MAZDA CX5 2.5 2019 MÀU ĐỎ THỐNG SỐ XE  • ODO : 8 vạn • ĐỘNG CƠ 2.2 Máy dầu • Ghế Điện . Auto Hold . Điều hoà tự động . Cruise Control . Đề nổ . Cốp điện . Cân bằng điện tử . Cửa nóc . Loa bose . Hắt kính . Cảnh báo điểm mù  📞 𝐇𝐨𝐭𝐥𝐢𝐧𝐞 : *** — BONAUTO SAU BIG C LONG BIÊN   SỐ 8 VŨ ĐỨC THẬN - PHƯỜNG VIỆT HƯNG - LONG BIÊN - HÀ NỘI,80000,N/A,Việt Nam,Đã sử dụng,Bảo hành hãng,2019,2.5 Signature Premium 2WD,Tự động,Xăng,SUV / Cross over,Khác,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,> 1 tấn,> 2 tấn,car_p2_s4_1774726413,https://xe.chotot.com/mua-ban-oto-quan-long-bien-ha-noi/130570989.htm
p2_s5_1774726424,Mazda 3 2020 1.5L deluxe - 70000 km,Mazda 3,475.0,"cần bán Mazda 3 1.5 , sản xuất 2022 mầu trắng Xe đăng kí tên tư nhân , odo 7 vạn Km. Xe trang bị gồm: Start/Stop, màn hình, camera lùi, cảm biến, vô lăng tích hợp, điều hòa tự động, túi khí, gương gập điện, ghế điện, phanh tay điện tử, Bluetooth, USB/Ipod, CD/Radio, ABS, EBD... - Cam kết xe nguyên bản không đâm đụng, ngập nước. - Hỗ trợ mọi thủ tục vay vốn, sang tên, lãi suất ưu đãi. ae có nhu cầu alo em   xem xe tại Hạc Thành , Thanh Hoá .",70000,Có,Việt Nam,Đã sử dụng,Bảo hành hãng,2020,1.5L Luxury,Tự động,Xăng,Sedan,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,> 1 tấn,> 2 tấn,car_p2_s5_1774726424,https://xe.chotot.com/mua-ban-oto-thanh-pho-thanh-hoa-thanh-hoa/131487187.htm
p2_s6_1774726435,Mazda 2 AT 2026 - XE MỚI 100% - Nhiều quà tặng 🎁,Mazda 2,398.0,"MAZDA 2 AT ĐANG CÓ GIÁ ƯU ĐÃI ĐẶC BIỆT. MAZDA 2 AT - 𝙫𝙞𝙣 2026 NHẬP KHẨU NGUYÊN CHIẾC THÁI LAN 🇹🇭 🔥 Trả trước chỉ từ 150tr nhận xe ngay 🎈 Ưu đãi lên đến 50 triệu.  Lý do lựa chọn Mazda 2 AT:  1.Ngoại hình thể thao năng động 2. Xe nhập khẩu nguyên chiếc Thái Lan 3. Sử dụng da lộn cao cấp trong phân khúc. 4. Nội thất sang trọng, tinh tế 5. Nhỏ gọn dễ di chuyển nội thành . 6. Động cơ 1.5 mạnh mẽ, công nghệ Skyactive tiết kiệm nhiên liệu, bền bỉ. 7. Bảo hành 5 năm hoặc 150.000km  ---------------------------------------- 🎁 Quà tặng hấp dẫn ➖Tặng thảm lót chất, tấm lót khoang hành lý ➖Phim cách nhiệt Llumar, túi cứu hộ ➖Bảo hành 5 năm/150.000 Km ➖Miễn phí tiền công bảo dưỡng 3 lần: 1000Km, 50.000Km và 100.000Km Và Kèm Theo Nhiều Quà Tặng Hấp Dẫn  ------------------------- 🏠 𝐒𝐡𝐨𝐰𝐫𝐨𝐨𝐦: MAZDA BÌNH TRIỆU Flapship 🕹 Đ𝐢̣𝐚 𝐜𝐡𝐢̉: 127 QUỐC LỘ 13, HIỆP BÌNH, TP. HỒ CHÍ MINH",N/A,N/A,Thái Lan,Mới,Bảo hành hãng,2026,N/A,Tự động,Xăng,Sedan,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,car_p2_s6_1774726435,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/130946773.htm
p2_s7_1774726445,MAZDA CX30 2022 PREMIUM MÀU ĐỎ,CX-30,635.0,MAZDA CX30 2022 PREMIUM MÀU ĐỎ THỐNG SỐ XE  • ODO : 9 VẠN  • ĐỘNG CƠ : 2.0 • Đề nổ . Cửa nóc . Phanh tay điện tử . Auto hold . Nhớ ghế . Cốp điện . Cảnh báo điểm mù . Điều hoà tự động .. Cruise Control . Chống trơn trượt . Màn hình cam lùi .   📞 𝐇𝐨𝐭𝐥𝐢𝐧𝐞 : *** — BONAUTO SAU BIG C LONG BIÊN   SỐ 8 VŨ ĐỨC THẬN - PHƯỜNG VIỆT HƯNG - LONG BIÊN - HÀ NỘI,90000,N/A,Thái Lan,Đã sử dụng,Bảo hành hãng,2022,Premium 2.0 AT,Tự động,Xăng,SUV / Cross over,Khác,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,> 1 tấn,> 2 tấn,car_p2_s7_1774726445,https://xe.chotot.com/mua-ban-oto-quan-long-bien-ha-noi/130590170.htm
