car_id,model,version_extracted,year,price_million,odo,gearbox,fuel,body_type_clean,origin_clean,exterior_color,is_single_owner,seats_clean,engine_capacity,drivetrain_clean,airbags_clean,image_folder,description
p73_s7_1776277677,Mazda 3,1.5 AT,2017,365.0,100300.0,Tự động,Xăng,Sedan,Khác,Trắng,False,5,1.5,FWD,6,car_p73_s7_1776277677,"Cần bán xe gia đình do ít đi lại. Mazda3 2017 - 1.5 AT Odo 100.300 km Không đâm đụng, không ngập Giá 365 tr Thương lượng nhẹ Xem xe Q7, Tp. HCM SDT liên hệ Trực tiếp chủ"
p52_s4_1776275000,Mazda 3,1.6 AT,2010,235.0,132000.0,Tự động,Xăng,Sedan,Đài Loan,Khác,False,5,1.6,FWD,6,car_p52_s4_1776275000,Đổi xe mới cần bán xe madaz 3 máy móc zin xe zin ko lổi ae mua về đi gd yên tâm
p17_s17_1774759910,Mazda 3,1.5 AT Hatchback,2016,368.0,100000.0,Tự động,Xăng,Hatchback,Việt Nam,Trắng,False,5,1.5,FWD,2,car_p17_s17_1774759910,"Mazda 3 1.5 AT Hatchback Sản xuất 2016 Odo 10 vạn km, lịch sử bảo dưỡng định kỳ đầy đủ Biển Hà Nội , tên cá nhân, đã lên 1 số đồ chơi cần thiết vv Cam kết xe không đâm va, không ngập nước, không phạt nguội, pháp lý xe minh bạch đầy đủ điều kiện sang tên. Quý khách vui lòng liên hệ Ecoauto SURE để biết thêm thông tin và giá ưu đãi nhất."
p16_s0_1776269876,Mazda 3,1.5L Luxury,2020,412.0,16000.0,Tự động,Xăng,Sedan,Khác,Xám,True,5,1.5,FWD,6,car_p16_s0_1776269876,"Bán Mazda 3 màu xám, xe 5 chỗ, số tự động. Bản luxury - Nội thất bọc da sang trọng. -1 chủ mua mới"
p43_s15_1774767462,BT-50,AT,2019,497.0,87000.0,Tự động,Dầu,Pick-up (bán tải),Khác,Đen,False,5,2.0,FWD,6,car_p43_s15_1774767462,"MAZDA BT-50 2 CẦU 4x4 2019 MÁY DẦU SỐ TỰ ĐỘNG Màu Xanh đen cá tính, mạnh mẽ Odo 87.000 km Giá bán 497 triệu trước điều chỉnh 515 triệu TÌNH TRẠNG XE Xe gia đình sử dụng Giữ gìn kỹ lưỡng Máy móc, hộp số nguyên bản Vận hành êm ái Không đâm đụng Không ngập nước Gầm bệ chắc chắn Sẵn chạy TRANG BỊ NỔI BẬT Động cơ diesel mạnh mẽ, bền bỉ tiết kiệm nhiên liệu Hệ dẫn động 2 cầu 4x4 đi công trình, offroad tốt Hộp số tự động mượt mà Ghế da, điều hòa mát sâu Màn hình giải trí, camera lùi Hệ thống an toàn ABS, EBD, cân bằng điện tử Mâm đúc thể thao, gương kính chỉnh điện ƯU ĐIỂM Bán tải 2 cầu khỏe đa dụng công việc gia đình Máy dầu bền bỉ chi phí vận hành thấp Giá hợp lý trong phân khúc bán tải 4x4 CAM KẾT Không tai nạn Bao test hãng toàn quốc Hỗ trợ sang tên nhanh vay ngân hàng đến 70 Địa chỉ Gò Vấp, TP.HCM"
p2_s9_1776267743,CX-5,2.0L AT Deluxe,2020,620.0,70000.0,Tự động,Xăng,SUV / Cross over,Khác,Trắng,False,5,2.0,FWD,6,car_p2_s9_1776267743,Mazda CX5 Deluxe sản xuất 2020 xe chạy 7V km
p5_s11_1774727148,Mazda 6,2.5 AT,2014,375.0,70000.0,Tự động,Xăng,Sedan,Khác,Cam,False,5,2.5,FWD,2,car_p5_s11_1774727148,"Mazda 6 2.5 AT 2014 Sản xuất 2014. Odo 70.000km. Xe đẹp không lỗi. Bảo dưỡng đầy đủ. Xe không tai nạn, không ngập nước cam kết văn bản Công Ty Mua - Bán - Trao Đổi Ô Tô Đã Qua Sử Dụng."
p42_s16_1774767293,Mazda 3,1.5 AT Sedan,2017,395.0,100000.0,Tự động,Xăng,Sedan,Việt Nam,Cam,False,5,1.5,FWD,2,car_p42_s16_1774767293,"Mazda 3 Hatchback Form Mới Sản Xuất 2017 Số Tự Động - Dung Tích 1.5 Trang Bị Màn Hình Androi , Cam Hành Trình Cam Lùi , Phanh Tay Điện Tử , Chế Độ Lái Sport , Gương Gập Điện , Cửa Sổ Trời , Đèn Bi Led Tài Chính 3xxtr Có Thương Lượng CAM KẾT VĂN BẢN Xe Không Tai Nạn Xe Không Bị Thuỷ Kích Xe Không Bị Đại Tu Động Cơ Và Hộp Số Xe Có Nguồn Gốc , Xuất Xứ Rõ Ràng Đảm Bảo Giấy Tờ Hợp Lệ Để Mua Bán Sang Tên Liên Hệ Tuấn Tài Địa Chỉ Lê Duẩn - P.Trà Bá - Pleiku Gia Lai"
p66_s6_1776276656,Mazda 3,1.5L Luxury,2024,600.0,18000.0,Tự động,Xăng,Sedan,Việt Nam,Đen,False,5,1.5,FWD,6,car_p66_s6_1776276656,"Mazda 3 luxury 2024 màu đen xe đẹp như mới, zin từng con ốc, giá còn tl cho anh chị mua nhanh gọn"
p16_s6_1774759525,CX-5,2.5,2017,489.0,11000.0,Tự động,Xăng,SUV,Khác,Đen,True,5,2.5,FWD,6,car_p16_s6_1774759525,An phát vừa về - Cx5 2.5 sx 2017 tên cá nhân một chủ từ mới - xe đẹp zin hết không lỗi nhỏ - lốp sơ cua chưa hạ - Bao check test thoải mái
p43_s4_1774767375,Mazda 3,1.5L Luxury,2019,430.0,130000.0,Tự động,Xăng,Sedan,Khác,Xanh,False,5,1.5,FWD,6,car_p43_s4_1774767375,"BÁN NHANH MAZDA 3 2019 MÀU XANH, XE ĐẸP Xe gia đình sử dụng, nguyên bản 100, không đâm đụng không ngập nước. Máy móc êm ái, gầm bệ chắc chắn, nội ngoại thất còn rất đẹp. Bảo dưỡng định kỳ đầy đủ, mua về chỉ việc đi. Giá bán nhanh, mềm hơn thị trường Liên hệ"
p70_s7_1776277076,Mazda 6,2.0L Premium,2018,489.0,69000.0,Tự động,Xăng,Sedan,Khác,Cam,False,5,2.0,FWD,6,car_p70_s7_1776277076,"Mazda 6 2.0 AT 2018 Bản nâng cấp Xe đẹp Bao test Odo chuẩn 69.000 km 4 lốp Michelin còn rất mới, lốp sơ cua zin chưa lăn Xe nguyên bản, không lỗi không đâm đụng bao test hãng Thông tin chi tiết xe Động cơ SkyActiv-G 2.0L 154 mã lực 200Nm Hộp số tự động 6 cấp, dẫn động cầu trước Công nghệ G-Vectoring Control, chế độ lái Sport Mode Hệ thống i-Stop tiết kiệm nhiên liệu Trang bị nổi bật Ngoại thất Đèn pha LED thích ứng, LED ban ngày Đèn hậu LED Mâm hợp kim 17 inch Thiết kế KODO sang trọng, lịch lãm Nội thất tiện nghi Ghế da cao cấp, chỉnh điện 2 bên, nhớ ghế Cửa sổ trời Màn hình giải trí 7 inch Mazda Connect Màn hình thông tin TFT 4.6 inch Điều hòa tự động 2 vùng độc lập Phanh tay điện tử, Start/Stop, chìa khóa thông minh Camera lùi, cảm biến trước/sau An toàn 6 túi khí ABS / EBD / BA Cân bằng điện tử DSC, kiểm soát lực kéo TCS Hỗ trợ khởi hành ngang dốc HLA Camera lùi, hệ thống chống trộm Trang bị an toàn nâng cao i-Activsense có trên một số phiên bản cao cấp Tân Thành Auto cam kết Xe chất lượng kiểm tra kỹ trước khi giao Hỗ trợ sang tên nhanh gọn Thu mua trao đổi xe cũ giá tốt Liên hệ Tân Thành Auto - Cần Thơ để xem xe và làm việc trực tiếp hoặc đặt cọc 2tr để được giao xe tận nhà."
p36_s1_1774765885,CX-5,Premium,2024,830.0,20000.0,Tự động,Xăng,SUV,Khác,Cam,True,5,2.0,FWD,6,car_p36_s1_1774765885,"CX5 2024 Premium Sport mới toanh tên tư nhân 1 chủ Chạy 2 vạn zin, full lịch sử hãng. Trang bị thì đỉnh khỏi bàn, từ ghế mát sưởi đến Camera 360, loa Bose. Chỉ 8xx triệu Có hỗ trợ Bank Xem xe tại hà nội"
p48_s14_1774768653,Mazda 6,2.5 AT,2015,400.0,46272.0,Tự động,Xăng,Sedan,Việt Nam,Cam,False,5,2.5,FWD,2,car_p48_s14_1774768653,Mazda 6 sản xuất năm 2015 Odo chuẩn 4v6 Trang bị Loa Bose cao cấp Màn hình Android giải trí Xe không lỗi nhỏ Cam kết 3 KHÔNG Không đâm đụng Không ngập nước Không tua odo BAO CHECK TEST MỌI NƠI tp Hồ Chí Minh Liên hệ xem xe và thương lượng giá
p7_s2_1774727474,Mazda 2,1.5 AT,2024,380.0,18000.0,Tự động,Xăng,Sedan,Khác,Trắng,True,5,1.5,FWD,6,car_p7_s2_1774727474,"Nhu cầu đi lại ít Cần bán xe mazda2 AT 2024 18k km Xe chính chủ đứng tên cà vẹt. Giá bán 380. Bán đến công chứng. Ai có nhu cầu mua đi liên hệ. Không tiếp cò lái. Xin cảm ơn Cần bán xe đã lên màn hình , cam 360, cảm biến sau. Tặng rèm xe và Lót sàn nhựa"
p3_s4_1774726662,Mazda Other,AT,2018,388.0,90000.0,Tự động,Dầu,Pick-up (bán tải),Nhật Bản,Xanh,False,5,2.0,FWD,6,car_p3_s4_1774726662,"Mazda BT 50 2018 AT 1 Cầu MÁY DẦU, SỐ TỰ ĐỘNG MẠNH MẼ SX 2018 / DK 2019 ODO 90 000 KM Form dáng cứng cáp đi phố hay công trình đều quá ổn Động cơ dầu bền bỉ Số tự động lái nhẹ nhàng Gầm cao đi đường xấu, đi xa cực kỳ yên tâm Xe trang bị đầy đủ tiện nghi Điều hòa mát sâu Màn hinh giải trí Nội thất da zin nguyên bản Giá 388 Tr 000 Liên hệ Cường Xem xe TDM, Bình Dương"
p4_s5_1774726871,Mazda 2,1.5 AT,2015,299.0,65000.0,Tự động,Xăng,Hatchback,Khác,Trắng,False,5,1.5,FWD,6,car_p4_s5_1774726871,"MAZDA 2 2015 SỐ TỰ ĐỘNG NHỎ GỌN, TIẾT KIỆM Màu Trắng Odo 65.000 km Giá bán 299 triệu TÌNH TRẠNG XE Xe gia đình sử dụng giữ gìn kỹ Máy móc, hộp số nguyên bản vận hành êm ái Không đâm đụng không ngập nước Nội ngoại thất còn rất đẹp sẵn chạy ngay TRANG BỊ NỔI BẬT Động cơ xăng 1.5 tiết kiệm nhiên liệu Hộp số tự động mượt mà Nội thất sạch đẹp, ghế da/nỉ theo xe Màn hình giải trí trung tâm Điều hòa mát sâu Phanh ABS túi khí an toàn Gương kính chỉnh điện mâm đúc thể thao ƯU ĐIỂM Xe nhỏ gọn cực kỳ dễ lái trong phố Tiết kiệm nhiên liệu chi phí nuôi xe thấp Phù hợp gia đình nhỏ hoặc khách mua xe lần đầu CAM KẾT Không tai nạn Bao test hãng toàn quốc Hỗ trợ sang tên nhanh CHỢ XE Ô TÔ 362 362 Thống Nhất, P.16, Gò Vấp, TP.HCM"
p13_s13_1776269493,Mazda 3,1.5L Luxury,2022,540.0,33000.0,Tự động,Xăng,Hatchback,Khác,Trắng,True,5,1.5,FWD,6,car_p13_s13_1776269493,"Pass trực tiếp không tiếp môi giới Mazda 3 Luxury 2022 đời đầu, Siêu tiết kiệm xăng, bền, giữ giá tốt Xe chính chủ, siêu đẹp như mới, nguyên zin, không ngập úng, check thoải mái, 3 vạn 3 km Xem xe ở Quận 1. 540 củ có bớt lộc nhẹ"
p68_s8_1776276897,Mazda 3,1.5,2019,398.0,98000.0,Tự động,Xăng,Sedan,Việt Nam,Đen,True,5,1.5,FWD,6,car_p68_s8_1776276897,"cần bán mazda 3 đời 2019 bản 1.5 xe chính chủ em đứng tên xe máy móc nguyên bản , không va chạm ngập nước có trang bị đầy đủ tính năng"
p30_s16_1776272529,Mazda 3,AT,2016,345.0,90000.0,Tự động,Xăng,Sedan,Khác,Trắng,False,5,2.0,FWD,6,car_p30_s16_1776272529,"Bán Mazda 3 màu trắng, xe 5 chỗ, động cơ xăng, hộp số tự động. - Thiết kế sang trọng, không gian rộng rãi. - Cảm giác lái mượt mà, vận hành ổn định. - Xe giữ gìn cẩn thận, sẵn sàng lăn bánh."
p58_s8_1776275546,Mazda 6,2.0 Premium,2021,555.0,68000.0,Tự động,Xăng,Sedan,Việt Nam,Cam,True,5,2.0,FWD,6,car_p58_s8_1776275546,"Gđ cần bán Madda 6 premiumbản cao nhất1 chủ từ đầu,cam kết ko đâm đụng ngập nước,ko taxi dịch vụ,lốp sơ cua chưa hạ, full đồ chơi,có cam 360 và rất nhiều tiện ích,form dáng chủ tịch xe chỉ thiếu cái hộp là như xe mới"
p18_s18_1774760134,Mazda 3,1.5 AT,2017,410.0,80000.0,Tự động,Xăng,Hatchback,Việt Nam,Trắng,True,5,1.5,FWD,6,car_p18_s18_1774760134,"Mazda 3 fl 2017 Xe gia đình 1 chủ từ mới ODO 80.000 km full bảo dưỡng hãng Phụ kiện Dán phim, lót sàn, màn hình adroi, camera hành trình, camera lùi Giá bán 410 triệu Xe gia đình chuẩn 8v km giá ko hề rẻ nhưng xứng đáng Xem xe 84 Phạm Hùng, Hoà Xuân, Đà Nẵng"
p71_s0_1776277239,Mazda 6,2.5 Premium,2017,465.0,120000.0,Tự động,Xăng,Sedan,Khác,Xanh,False,5,2.5,FWD,6,car_p71_s0_1776277239,mazda 6 2.5 premium 2017 xe máy móc êm ru. nguyên zin. keo chỉ còn nguyên. k đâm đụng ngập nước. odo 12v. đăng kiểm t6/2026. xem xe trực tiếp đà lạt giá 465tr
p35_s3_1774765699,BT-50,AT,2016,345.0,118000.0,Tự động,Dầu,Pick-up (bán tải),Thái Lan,Bạc,True,5,2.0,FWD,6,car_p35_s3_1774765699,Mazda bt50 2016 số tự động 1 cầu Xe k đâm đụng náy móc nguyên bản Xe mình chính chủ đứng bán k qua ai mình đứng tên xe Nếu k lấy mâm độ bớt 10tr
p55_s9_1776275191,Mazda 2,Luxury,2022,418.0,70000.0,Tự động,Xăng,Sedan,Thái Lan,Trắng,False,5,2.0,FWD,6,car_p55_s9_1776275191,"Mazda_2_Luxury 2022 đăng kí 2023 Odo 70.000 ngàn Km Đúng 1 đời chủ , sơ cua chưa chạm Ghế 2 màu, xe nhập thái , có Apple Carplay . Cam kết xe đẹp không lỗi , Sơn zin 90"
p60_s6_1776275819,CX-5,2.5 AT,2017,475.0,97847.0,Tự động,Xăng,SUV,Khác,Xanh,False,5,2.5,FWD,6,car_p60_s6_1776275819,"Bán Xe Mazda CX-5 2017 Bản 2.5G AT AWD màu xanh, xe 5 chỗ, nội thất bọc da sang trọng. - Động cơ xăng, hộp số tự động. - Thiết kế hiện đại, vận hành êm ái. - Xe gầm cao, phù hợp nhiều địa hình."
p17_s6_1776270100,Mazda 2,AT,2024,375.0,42000.0,Tự động,Xăng,Hatchback,Khác,Trắng,True,5,2.0,FWD,6,car_p17_s6_1776270100,"Mazda 2 at 2024 đã lên cam 360, màn, phím vô lăng, cảm biến, ghế da 1 chủ vẫn còn đăng kiểm lần đầu ado 42000km"
p14_s8_1774759060,Mazda Other,Unknown,2019,599.0,50000.0,Tự động,Xăng,SUV / Cross over,Việt Nam,Đen,False,5,2.0,FWD,6,car_p14_s8_1774759060,"Chiếc Mazda CX 5 màu đen sản xuất năm 2019 này là lựa chọn tuyệt vời cho những ai đang tìm kiếm một chiếc xe gia đình rộng rãi và thoải mái. Xe có thiết kế mạnh mẽ, nội thất tiện nghi và khả năng vận hành ổn định. Đặc điểm nổi bật Ngoại thất màu đen sang trọng, lịch lãm, dễ dàng bảo dưỡng. Nội thất rộng rãi với 2 chỗ ngồi, phù hợp cho gia đình nhỏ hoặc những người thường xuyên di chuyển một mình. Động cơ mạnh mẽ, vận hành êm ái, tiết kiệm nhiên liệu. Trang bị đầy đủ các tính năng an toàn như hệ thống chống bó cứng phanh ABS, hệ thống phân phối lực phanh điện tử EBD, hệ thống cân bằng điện tử DSC,... Hệ thống giải trí hiện đại với màn hình cảm ứng, kết nối Bluetooth, USB,... Xe được bảo dưỡng định kỳ, đảm bảo hoạt động tốt. Phù hợp cho cả di chuyển trong thành phố và những chuyến đi xa. Thiết kế khí động học giúp xe vận hành ổn định ở tốc độ cao. Hệ thống điều hòa không khí hai vùng độc lập, mang lại sự thoải mái cho tất cả hành khách. Cốp xe rộng rãi, chứa được nhiều đồ đạc, phù hợp cho những chuyến đi du lịch hoặc mua sắm. Chiếc xe Mazda CX 5 này chắc chắn sẽ là người bạn đồng hành đáng tin cậy trên mọi nẻo đường."
p29_s15_1776272353,BT-50,AT,2017,365.0,137099.0,Tự động,Dầu,Pick-up (bán tải),Khác,Xanh,False,5,2.0,FWD,6,car_p29_s15_1776272353,Cần bán bt50 sản xuất 2017 số tự động một cầu máy dầu xe không lỗi máy zin xem xe lh qua điện thoại nhé ạ
p17_s4_1774759760,Mazda 3,1.5L Deluxe,2022,555.0,35000.0,Tự động,Xăng,Sedan,Khác,Trắng,False,5,1.5,FWD,7,car_p17_s4_1774759760,"Mazda3 Deluxe 2022 ĐK 11/2022 Ngọc Trinh - Biển Hà Nội Lướt 3v5 km zin - bảo dưỡng full hãng - Sơn zin đến 90 Nội thất nguyên nilon mới cứng máy móc gầm bệ cực sáng có văn bản check full ảnh check bên ô tô chữ tín 4/2025 Lốp zin theo xe dầy bịch - sơ cua mới cứng Cam kết Bao khong ngap nuoc, khong đam đung. Bao rut ho so gốc . Ho tro sang ten Bao quay đầu 1 năm 10 theo giá thị trường Có dán tem bảo hành ở các vị trí xung yếu Ho tro vay ngan hang lai suat uu đai. Bao hanh 6 thang hoặc 10.000km đong co, may moc. Ho tro test hang co van ban _________________________________ ----BOSS CAR---- Địa chỉ 68 Lê Văn Lương, Thanh Xuân, Hà Nội CHUYÊN MUA BÁN - TRAO ĐỔI XE ĐÃ QUA SỬ DỤNG. XE ĐÃ QUA KIỂM ĐỊNH CHẤT LƯỢNG VÀ CÓ BẢO HÀNH ---------------------- ----------------------"
p56_s3_1776275270,CX-5,2.5,2017,539.0,16000.0,Tự động,Xăng,SUV,Khác,Khác,False,5,2.5,FWD,6,car_p56_s3_1776275270,Mazda cx5 cuối 2017 xe trùm mền mới chạy 16 ngàn km mới 99 zin 100 ko đúng tặng luôn chiếc xe vỏ zin theo xe máy 2.5 bản fun xem xe Q8 bán 539tr
p16_s10_1774759572,Mazda 3,Sedan 1.5L Luxury,2020,485.0,82000.0,Tự động,Xăng,Sedan,Khác,Trắng,False,5,1.5,FWD,6,car_p16_s10_1774759572,"Cần bán matdaz 3 bản 1.5L sx 2020 Lucxyry tư nhán sd xe đẹp ,ful đồ cam kết máy móc nguyên bản ,ko đâm dfungj ko thuỷ kích ko ngập nươc ,có hỗ trợ vay banks lên tới 70 giá trị của xe. Khung gầm đi đầm chắc lịch"
p8_s5_1776268646,BT-50,2.2L 4x2 ATH,2018,446.0,58000.0,Tự động,Dầu,Pick-up (bán tải),Thái Lan,Đen,True,5,2.2,FWD,6,car_p8_s5_1776268646,"MAZDA BT50 4x2 ATH Một chủ từ đầu. Bảo dưỡng đầy đủ 5 Vỏ zin theo xe Năm sản xuất 2018 Odo 58.000km tua odo tặng xe 446tr ------//------ CAM KẾT - KHÔNG ĐÂM ĐỤNG ẢNH HƯỚNG ĐẾN KẾT CẤU - KHÔNG NGẬP NƯỚC - KHÔNG ĐẠI TU ĐỘNG CƠ HỘP SỐ - HỒ SƠ PHÁP LÝ RÕ RÀNG - KHÔNG TRANH CHẤP, KHÔNG PHẠT NGUỘI Hỗ trợ sang tên, thủ tục pháp lý HOTLINEZALO EM TIẾNG"
p27_s10_1774763994,CX-5,Deluxe,2025,745.0,10000.0,Tự động,Xăng,SUV,Khác,Trắng,False,5,2.0,FWD,6,car_p27_s10_1774763994,"Mazda CX5 Deluxe sản xuất 2025 , màu trắng nthat đen , lăn bánh hơn 1v km , sơn zin cả xe"
p27_s7_1776271917,Mazda 3,Unknown,2017,385.0,7000.0,Tự động,Xăng,Sedan,Việt Nam,Trắng,True,5,2.0,FWD,6,car_p27_s7_1776271917,Do nhu cầu ít đi lại e cần thanh lý xe chính chủ đăng tin mazda 3 2017 FL thắng điện Odo chuẩn 7 vạn Zin ko lỗi Đồ chơi full xe Xe chính chủ em ạ
p28_s12_1774764174,CX-5,Luxury,2023,745.0,9800.0,Tự động,Xăng,SUV,Khác,Đen,False,5,2.0,FWD,6,car_p28_s12_1774764174,"Mazda CX-5 Luxury 2023 màu đen, xe 5 chỗ gầm cao, thiết kế hiện đại. - Sản xuất 2023, đăng ký lần đầu tháng 1/2024. - ODO 9.800 Km, xe cá nhân đi gia đình. - Nội thất đen sang trọng, tiện nghi."
